Species,Genus,Family,Population,Longitude,Latitude,Average Female adult weight (g),SD Female adult weight (g),Sample Size Female adult weight,Mean F SVL adults (mm),SD F SVL adults (mm),Sample size Mean F SVL adults,F SVL at maturity (mm),Offspring SVL (mm),Mean Clutch Size,Sample size Clutch Size.,Mode of reproduction,Clutches per year,Clutch Frequency,RCM,Foraging Mode,Distribution,Prefered Habitat Type,Source
Agama Agama,Agama,Agamidae,"Suacocco, Liberia 1952-1953",-9.05,7.08,NA,NA,NA,85,NA,63,75,32,7.5,NA,Oviparous,2,2,NA,Sit and wait,Tropical,Saxicolous,(Harris 1964)
Agama Agama,Agama,Agamidae,"Ibadan, NIgeria",3.92,7.4,NA,NA,NA,97,NA,NA,NA,NA,5.5,NA,Oviparous,NA,2,NA,Sit and wait,Tropical,Saxicolous,(Daniel 1960)
Agama hispida,Agama,Agamidae,"Kalahari Desert, Africa, 1969-1970",21.25,-27.03,31.86,6.16,28,94.84,6.91,51,76,29,13.4,45,Oviparous,NA,1,0.305,Sit and wait,Temperate,Semi-arboreal,(Pianka 1986)
Caimanops amphiboluroides,Caimanops,Agamidae,Australia,119.1,-28.5,NA,NA,NA,94,7.07,2,89,38,12,2,Oviparous,NA,1,NA,Sit and wait,Temperate,Semi-arboreal,(Pianka 2013d)
Ctenophorus caudicinctus,Ctenophorus,Agamidae,Australia,119.62,-27.08,10.04,2.294,17,62.89,4.433,18,57,22,5.36,14,Oviparous,NA,1,0.166,Sit and wait,Temperate,Saxicolous,Present work
Ctenophorus clayi,Ctenophorus,Agamidae,Australia,123.7,-28.18,3.58,0.798,75,48.04,2.84,75,44,23,2.714,28,Oviparous,NA,1,0.1924,Sit and wait,Temperate,Terrestrial,(Pianka 2013c)
Ctenophorus fordi,Ctenophorus,Agamidae,"Nymagee, New South Wales",146.32,-32.04,NA,NA,NA,NA,NA,NA,48,24,2.26,NA,Oviparous,2,2,NA,Sit and wait,Temperate,Terrestrial,(Cogger 1978)
Ctenophorus fordi,Ctenophorus,Agamidae,Australia,123.92,-28.13,4.74,0.915,41,52.6,2.731,41,49,25,2.31,13,Oviparous,NA,1,0.1142,Sit and wait,Temperate,Terrestrial,(Pianka 2013c)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-All,123.54,-27.83,6.784,1.693,741,56.032,4.3518,756,47,22,3.4,40,Oviparous,NA,2,0.1433,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
Ctenophorus isolepis,Ctenophorus,Agamidae,Australia-B,123.6,-28.24,6.532,1.41,120,55.363,3.6143,120,51,26,3.08,39,Oviparous,NA,2,0.1471,Sit and wait,Temperate,Terrestrial,(Pianka 1971b)
